tabel,kode,lapangan_usaha,periode,nilai
Distribusi,PDRB,PRODUK DOMESTIK REGIONAL BRUTO,Triwulan IV 2025,100
Distribusi,PDRB,PRODUK DOMESTIK REGIONAL BRUTO,Tahunan 2025,100
Distribusi,PDRB,PRODUK DOMESTIK REGIONAL BRUTO,Triwulan I 2026,100
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2022, 
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2022,-8.976504603
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2022,5.705017574
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2022,-0.6580638526
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2022,3.071061171
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2023,5.184962313
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2023,-7.469447074
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2023,5.240564329
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2023,-0.01887281564
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2023,1.70745357
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2024,6.614469017
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2024,-8.616736994
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2024,5.584961759
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2024,1.561259434
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2024,3.423872167
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2025,5.230918786
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2025,-7.254270305
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2025,5.000047211
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2025,2.775043886
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2025,4.28202584
Q-to-Q,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2026,3.064951012
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan I 2022, 
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan II 2022,-3.855428431
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan III 2022,1.062454941
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan IV 2022,6.626831773
Q-to-Q,B,Pertambangan dan Penggalian,Tahunan 2022,2.095651242
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan I 2023,-8.184065642
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan II 2023,11.94045976
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan III 2023,1.404669642
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan IV 2023,2.3347323
Q-to-Q,B,Pertambangan dan Penggalian,Tahunan 2023,5.839077033
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan I 2024,-7.996871015
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan II 2024,11.37335719
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan III 2024,0.3126829701
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan IV 2024,1.784227147
Q-to-Q,B,Pertambangan dan Penggalian,Tahunan 2024,5.710473383
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan I 2025,-8.206138597
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan II 2025,10.81603992
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan III 2025,1.580202365
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan IV 2025,3.213788674
Q-to-Q,B,Pertambangan dan Penggalian,Tahunan 2025,5.04245703
Q-to-Q,B,Pertambangan dan Penggalian,Triwulan I 2026,-11.54439232
Q-to-Q,C,Industri Pengolahan,Triwulan I 2022, 
Q-to-Q,C,Industri Pengolahan,Triwulan II 2022,1.8368892
Q-to-Q,C,Industri Pengolahan,Triwulan III 2022,4.992536901
Q-to-Q,C,Industri Pengolahan,Triwulan IV 2022,1.499166299
Q-to-Q,C,Industri Pengolahan,Tahunan 2022,3.672986544
Q-to-Q,C,Industri Pengolahan,Triwulan I 2023,-5.124305829
Q-to-Q,C,Industri Pengolahan,Triwulan II 2023,0.7841379293
Q-to-Q,C,Industri Pengolahan,Triwulan III 2023,-0.5444563926
Q-to-Q,C,Industri Pengolahan,Triwulan IV 2023,8.503988692
Q-to-Q,C,Industri Pengolahan,Tahunan 2023,1.111586859
Q-to-Q,C,Industri Pengolahan,Triwulan I 2024,-5.420588194
Q-to-Q,C,Industri Pengolahan,Triwulan II 2024,2.522992851
Q-to-Q,C,Industri Pengolahan,Triwulan III 2024,-0.8374671083
Q-to-Q,C,Industri Pengolahan,Triwulan IV 2024,8.447026147
Q-to-Q,C,Industri Pengolahan,Tahunan 2024,4.033896899
Q-to-Q,C,Industri Pengolahan,Triwulan I 2025,-6.062057614
Q-to-Q,C,Industri Pengolahan,Triwulan II 2025,2.091234082
Q-to-Q,C,Industri Pengolahan,Triwulan III 2025,1.184654682
Q-to-Q,C,Industri Pengolahan,Triwulan IV 2025,2.93451318
Q-to-Q,C,Industri Pengolahan,Tahunan 2025,2.889876861
Q-to-Q,C,Industri Pengolahan,Triwulan I 2026,-1.533310651
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan I 2022, 
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan II 2022,-4.128593641
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan III 2022,0.07280246838
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan IV 2022,13.50905076
Q-to-Q,D,Pengadaan Listrik dan Gas,Tahunan 2022,4.06905249
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan I 2023,3.036987369
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan II 2023,5.446628402
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan III 2023,0.6806778558
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan IV 2023,-6.732880394
Q-to-Q,D,Pengadaan Listrik dan Gas,Tahunan 2023,14.98512997
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan I 2024,6.8950933
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan II 2024,4.121668067
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan III 2024,-0.08308118689
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan IV 2024,-2.428868544
Q-to-Q,D,Pengadaan Listrik dan Gas,Tahunan 2024,5.595679897
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan I 2025,2.5942671
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan II 2025,3.24033564
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan III 2025,-0.7056302949
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan IV 2025,1.199547099
Q-to-Q,D,Pengadaan Listrik dan Gas,Tahunan 2025,4.09810396
Q-to-Q,D,Pengadaan Listrik dan Gas,Triwulan I 2026,-0.4702143087
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan I 2022, 
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan II 2022,6.001661682
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan III 2022,-1.658062076
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan IV 2022,1.597024812
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Tahunan 2022,7.443845125
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan I 2023,2.252838
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan II 2023,3.943228979
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan III 2023,0.438952351
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan IV 2023,-0.7873805864
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Tahunan 2023,7.192926977
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan I 2024,2.089908936
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan II 2024,5.045020561
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan III 2024,0.03637605221
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan IV 2024,-1.100534655
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Tahunan 2024,6.290163199
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan I 2025,-1.134612593
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan II 2025,7.558181209
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan III 2025,0.02207953653
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan IV 2025,-0.2468590737
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Tahunan 2025,4.832406843
Q-to-Q,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Triwulan I 2026,2.704818898
Q-to-Q,F,Konstruksi,Triwulan I 2022, 
Q-to-Q,F,Konstruksi,Triwulan II 2022,1.817704696
Q-to-Q,F,Konstruksi,Triwulan III 2022,2.664906013
Q-to-Q,F,Konstruksi,Triwulan IV 2022,16.31953633
Q-to-Q,F,Konstruksi,Tahunan 2022,2.377564763
Q-to-Q,F,Konstruksi,Triwulan I 2023,-13.76393962
Q-to-Q,F,Konstruksi,Triwulan II 2023,3.585905264
Q-to-Q,F,Konstruksi,Triwulan III 2023,3.186862835
Q-to-Q,F,Konstruksi,Triwulan IV 2023,16.56717732
Q-to-Q,F,Konstruksi,Tahunan 2023,6.60130904
Q-to-Q,F,Konstruksi,Triwulan I 2024,-14.05066991
Q-to-Q,F,Konstruksi,Triwulan II 2024,2.362408005
Q-to-Q,F,Konstruksi,Triwulan III 2024,2.978590815
Q-to-Q,F,Konstruksi,Triwulan IV 2024,15.01909163
Q-to-Q,F,Konstruksi,Tahunan 2024,5.599294206
Q-to-Q,F,Konstruksi,Triwulan I 2025,-15.21817067
Q-to-Q,F,Konstruksi,Triwulan II 2025,4.258652542
Q-to-Q,F,Konstruksi,Triwulan III 2025,3.242507903
Q-to-Q,F,Konstruksi,Triwulan IV 2025,15.73956593
Q-to-Q,F,Konstruksi,Tahunan 2025,4.5801202
Q-to-Q,F,Konstruksi,Triwulan I 2026,-13.77508724
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan I 2022, 
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan II 2022,12.98257344
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan III 2022,-9.715243998
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan IV 2022,4.681827358
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Tahunan 2022,9.849029098
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan I 2023,1.665965123
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan II 2023,6.142878432
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan III 2023,-1.42533454
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan IV 2023,0.6687060842
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Tahunan 2023,7.101861982
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan I 2024,-1.544055123
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan II 2024,8.21526218
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan III 2024,-2.28463738
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan IV 2024,1.322711514
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Tahunan 2024,4.948757389
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan I 2025,-0.4571084705
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan II 2025,8.763929798
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan III 2025,-2.501350019
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan IV 2025,0.01037713929
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Tahunan 2025,6.591540933
Q-to-Q,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Triwulan I 2026,1.457219495
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan I 2022, 
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan II 2022,23.73041678
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan III 2022,-3.044810892
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan IV 2022,-8.700508209
Q-to-Q,H,Transportasi dan Pergudangan,Tahunan 2022,16.03934481
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan I 2023,-6.937517471
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan II 2023,31.01675358
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan III 2023,-7.411518958
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan IV 2023,-4.713047031
Q-to-Q,H,Transportasi dan Pergudangan,Tahunan 2023,5.231754286
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan I 2024,-8.604568701
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan II 2024,30.16413559
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan III 2024,-5.853272489
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan IV 2024,-5.243480649
Q-to-Q,H,Transportasi dan Pergudangan,Tahunan 2024,5.850205169
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan I 2025,-4.849196269
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan II 2025,24.87220328
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan III 2025,-6.182182709
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan IV 2025,-4.554552512
Q-to-Q,H,Transportasi dan Pergudangan,Tahunan 2025,6.956584293
Q-to-Q,H,Transportasi dan Pergudangan,Triwulan I 2026,1.724241521
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan I 2022, 
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan II 2022,3.133829924
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan III 2022,1.016914956
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan IV 2022,1.431909998
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Tahunan 2022,8.39555582
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan I 2023,-0.3324670873
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan II 2023,2.771941241
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan III 2023,2.805942336
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan IV 2023,1.591533513
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Tahunan 2023,6.030510113
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan I 2024,-0.1593957129
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan II 2024,3.361332347
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan III 2024,0.7835284992
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan IV 2024,0.6598889255
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Tahunan 2024,6.296531478
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan I 2025,-0.2504976946
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan II 2025,4.094540675
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan III 2025,-0.4435737946
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan IV 2025,2.313376515
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Tahunan 2025,4.942513798
Q-to-Q,I,Penyediaan Akomodasi dan Makan Minum,Triwulan I 2026,0.9181449517
Q-to-Q,J,Informasi dan Komunikasi,Triwulan I 2022, 
Q-to-Q,J,Informasi dan Komunikasi,Triwulan II 2022,3.684150403
Q-to-Q,J,Informasi dan Komunikasi,Triwulan III 2022,-1.049614336
Q-to-Q,J,Informasi dan Komunikasi,Triwulan IV 2022,3.019164251
Q-to-Q,J,Informasi dan Komunikasi,Tahunan 2022,5.191081857
Q-to-Q,J,Informasi dan Komunikasi,Triwulan I 2023,2.061605616
Q-to-Q,J,Informasi dan Komunikasi,Triwulan II 2023,6.004278353
Q-to-Q,J,Informasi dan Komunikasi,Triwulan III 2023,-2.173015682
Q-to-Q,J,Informasi dan Komunikasi,Triwulan IV 2023,1.55742961
Q-to-Q,J,Informasi dan Komunikasi,Tahunan 2023,8.670352643
Q-to-Q,J,Informasi dan Komunikasi,Triwulan I 2024,2.455486173
Q-to-Q,J,Informasi dan Komunikasi,Triwulan II 2024,5.875802238
Q-to-Q,J,Informasi dan Komunikasi,Triwulan III 2024,-3.181147364
Q-to-Q,J,Informasi dan Komunikasi,Triwulan IV 2024,0.9422727192
Q-to-Q,J,Informasi dan Komunikasi,Tahunan 2024,7.079325557
Q-to-Q,J,Informasi dan Komunikasi,Triwulan I 2025,3.289786508
Q-to-Q,J,Informasi dan Komunikasi,Triwulan II 2025,6.197309587
Q-to-Q,J,Informasi dan Komunikasi,Triwulan III 2025,-3.400420545
Q-to-Q,J,Informasi dan Komunikasi,Triwulan IV 2025,0.3940315115
Q-to-Q,J,Informasi dan Komunikasi,Tahunan 2025,6.856074771
Q-to-Q,J,Informasi dan Komunikasi,Triwulan I 2026,0.9517004129
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan I 2022, 
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan II 2022,-8.559699034
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan III 2022,6.622445495
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan IV 2022,-0.2656472867
Q-to-Q,K,Jasa Keuangan dan Asuransi,Tahunan 2022,0.1859184527
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan I 2023,5.4584493
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan II 2023,-0.9046884149
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan III 2023,0.04464692374
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan IV 2023,0.8220585265
Q-to-Q,K,Jasa Keuangan dan Asuransi,Tahunan 2023,5.735336155
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan I 2024,4.748932394
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan II 2024,-0.4470361612
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan III 2024,0.5132541917
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan IV 2024,0.380893124
Q-to-Q,K,Jasa Keuangan dan Asuransi,Tahunan 2024,5.19368593
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan I 2025,2.510170502
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan II 2025,0.220708292
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan III 2025,-1.804577729
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan IV 2025,2.485160753
Q-to-Q,K,Jasa Keuangan dan Asuransi,Tahunan 2025,2.819377933
Q-to-Q,K,Jasa Keuangan dan Asuransi,Triwulan I 2026,2.609798894
Q-to-Q,L,Real Estate,Triwulan I 2022, 
Q-to-Q,L,Real Estate,Triwulan II 2022,1.250629346
Q-to-Q,L,Real Estate,Triwulan III 2022,-0.7393757245
Q-to-Q,L,Real Estate,Triwulan IV 2022,12.48458696
Q-to-Q,L,Real Estate,Tahunan 2022,0.1651506346
Q-to-Q,L,Real Estate,Triwulan I 2023,2.5175
Q-to-Q,L,Real Estate,Triwulan II 2023,0.02139081566
Q-to-Q,L,Real Estate,Triwulan III 2023,0.07890939161
Q-to-Q,L,Real Estate,Triwulan IV 2023,-0.980456878
Q-to-Q,L,Real Estate,Tahunan 2023,11.54746389
Q-to-Q,L,Real Estate,Triwulan I 2024,7.403006436
Q-to-Q,L,Real Estate,Triwulan II 2024,1.908932899
Q-to-Q,L,Real Estate,Triwulan III 2024,0.03696064735
Q-to-Q,L,Real Estate,Triwulan IV 2024,-2.356735565
Q-to-Q,L,Real Estate,Tahunan 2024,7.565624586
Q-to-Q,L,Real Estate,Triwulan I 2025,4.734347134
Q-to-Q,L,Real Estate,Triwulan II 2025,1.128026287
Q-to-Q,L,Real Estate,Triwulan III 2025,0.7032682585
Q-to-Q,L,Real Estate,Triwulan IV 2025,-0.4855971149
Q-to-Q,L,Real Estate,Tahunan 2025,4.492559558
Q-to-Q,L,Real Estate,Triwulan I 2026,4.824911912
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan I 2022, 
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan II 2022,3.449665966
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan III 2022,1.250887778
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan IV 2022,0.232762745
Q-to-Q,"M,N",Jasa Perusahaan,Tahunan 2022,10.33334742
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan I 2023,-2.592
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan II 2023,13.78284182
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan III 2023,0.9280502915
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan IV 2023,3.533568229
Q-to-Q,"M,N",Jasa Perusahaan,Tahunan 2023,10.76508818
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan I 2024,-9.472195352
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan II 2024,12.84376147
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan III 2024,0.2448587271
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan IV 2024,1.508806736
Q-to-Q,"M,N",Jasa Perusahaan,Tahunan 2024,6.016475723
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan I 2025,-4.669155118
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan II 2025,8.888919409
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan III 2025,-2.384995063
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan IV 2025,0.3083546201
Q-to-Q,"M,N",Jasa Perusahaan,Tahunan 2025,4.749402572
Q-to-Q,"M,N",Jasa Perusahaan,Triwulan I 2026,-4.871516778
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan I 2022, 
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan II 2022,19.82726538
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan III 2022,-0.1781862814
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan IV 2022,-4.37510124
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Tahunan 2022,-0.7851890318
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan I 2023,-6.099775541
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan II 2023,19.42805407
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan III 2023,-9.039707245
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan IV 2023,6.642554423
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Tahunan 2023,5.057436582
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan I 2024,-7.872085286
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan II 2024,17.22317886
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan III 2024,-9.54139943
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan IV 2024,6.695589088
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Tahunan 2024,4.923197349
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan I 2025,-10.52894826
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan II 2025,17.49176229
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan III 2025,-7.350612987
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan IV 2025,6.345240831
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Tahunan 2025,2.550478607
Q-to-Q,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Triwulan I 2026,-2.349611354
Q-to-Q,P,Jasa Pendidikan,Triwulan I 2022, 
Q-to-Q,P,Jasa Pendidikan,Triwulan II 2022,4.589252721
Q-to-Q,P,Jasa Pendidikan,Triwulan III 2022,11.1780081
Q-to-Q,P,Jasa Pendidikan,Triwulan IV 2022,-9.781593365
Q-to-Q,P,Jasa Pendidikan,Tahunan 2022,5.067760953
Q-to-Q,P,Jasa Pendidikan,Triwulan I 2023,0.42
Q-to-Q,P,Jasa Pendidikan,Triwulan II 2023,9.720165706
Q-to-Q,P,Jasa Pendidikan,Triwulan III 2023,5.103194141
Q-to-Q,P,Jasa Pendidikan,Triwulan IV 2023,-8.137596229
Q-to-Q,P,Jasa Pendidikan,Tahunan 2023,6.633158239
Q-to-Q,P,Jasa Pendidikan,Triwulan I 2024,0.01778626702
Q-to-Q,P,Jasa Pendidikan,Triwulan II 2024,9.801530109
Q-to-Q,P,Jasa Pendidikan,Triwulan III 2024,4.61184998
Q-to-Q,P,Jasa Pendidikan,Triwulan IV 2024,-8.206184973
Q-to-Q,P,Jasa Pendidikan,Tahunan 2024,5.740507385
Q-to-Q,P,Jasa Pendidikan,Triwulan I 2025,-2.017107797
